Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Trump,2019,"Apple, Inc.",ICT,U.S.,U.S.,"$466,912",Foreign Narcotics Kingpin Sanctions Regulations,FNKSR,YES,NO,3,"February 24, 2015 to on or about May 9, 2017",11/12/2019,Slovenia,SIS D.O.O,NO,NO,Software,1152868,NO
Trump,2019,"Appollo Aviation, LLC",Aerospace,U.S.,U.S.,"$210,600",Sudanese Sanctions Regime,SSR,YES,NO,12,July 2013 to September 2015,11/7/2019,"UAE, Ukraine",Government of Sudan,NO,NO,Leased aircraft engines,8018615,NO
Trump,2019, General Electric Company,Mining,U.S.,U.S.,"$2,718,581",Cuban Assets Control Regulations,CACR,YES,NO,289,"December 9, 2010 to on or about February 28, 2014",10/1/2019,Canada,Cobalt Refinery Company,YES,NO,Financial Transactions,8018615,
Trump,2019,?British Arab Commercial Bank plc,Financial,United Kingdom,Foreign,"$4,000,000",Sudanese Sanctions Regime,SSR,NO,YES,72,"September 21, 2010 and August 27, 2014",9/17/2019,United Kingdom,,NO,NO,Financial transactions,190700000,NO
Trump,2019,"Atradius Trade Credit Insurance, Inc.",Financial,U.S. ,Foreign,"$345,315",Foreign Narcotics Kingpin Sanctions Regulations,FNKSR,NO,NO,2,42906,8/16/2019,Panama,"Grupo Wisa, S.A. (Grupo Wisa) and the Soho Mall Panama",YES,NO,Financial transactions,5730680.33,NO
Trump,2019,"PACCAR, Inc",Automotive,Netherlands,Foreign,"$1,709,325",Iranian Transactions and Sanctions Regulations,ITSR,YES,NO,63, October 2013 and February 2015,8/6/2019,"Bulgaria, Germany, Netherlands",,YES,NO,Trucks,5426428,YES
Trump,2019,Cubasphere,Travel,U.S. ,Foreign,"$40,320",Cuba Assets Control Regulations,CACR,NO,NO,104,"December 30, 2013 to on or about
February 22, 2014",7/13/2019,Cuba,,NO,NO,Cuba-related travel services,,NO
Trump,2019,Expedia,Travel,U.S. ,Foreign,"$325,406",Cuba Assets Control Regulations,CACR,YES,NO,"2,221"," April 22, 2011 and on or about October 16, 2014",7/13/2019,Cuba,,NO,NO,Cuba-related travel services,,NO
Trump,2019,Hotel Beds USA,Travel,U.S. ,Foreign,"$222,705",Cuba Assets Control Regulations,CACR,NO,YES,703,December 2011 and on or about June 2014,7/13/2019,Cuba,,YES,NO,  Cuba-related travel service,,NO
Trump,2019,Western Union ,Financial,U.S. ,Foreign,"$401,697",Global Terrorism Sanctions Regulations,GTSR,YES,NO,"4,977","December 9, 2010, and March 13, 2015",6/7/2019,Gambia,SDN: Kairaba Shopping Center,YES,NO,Financial transactions,1250000,NO
Trump,2019,MID-SHIP Group LLC,Maritime,U.S.,U.S.,"$871,837","Weapons of Mass Destruction
Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR)",WMDPSR,NO,YES,5,"February 18, 2011 to November 14, 2011",5/2/2019,"Iran, Turkey, China",Islamic Republic of Iran Shipping Lines (IRISL),YES,NO,Electronic funds transfer,472861,-
Trump,2019,"Haverly Systems, Inc.",ICT,U.S.,U.S.,"$75,375","Ukraine Related Sanctions Regulations, 31
C.F.R. part 589 (URSR)",URSR,NO,NO,2,"May 31, 2016 to January
11, 2017",4/25/2019,Russia,JSC Rosneft,NO,NO,Debt older than 90 days,,YES
